iter	Passed	Remaining
0	4	489
1	8	399
2	11	375
3	14	336
4	17	329
5	20	327
6	22	303
7	24	283
8	26	265
9	27	250
10	28	234
11	30	222
12	31	212
13	32	200
14	33	191
15	34	181
16	35	171
17	36	164
18	36	156
19	37	149
20	38	143
21	38	137
22	39	131
23	39	126
24	40	121
25	41	116
26	41	112
27	42	108
28	42	105
29	43	101
30	44	98
31	44	95
32	45	92
33	45	89
34	46	86
35	47	83
36	47	81
37	48	78
38	49	76
39	49	74
40	50	72
41	50	69
42	51	68
43	51	66
44	52	64
45	53	62
46	53	60
47	54	58
48	54	56
49	55	55
50	56	53
51	56	52
52	57	50
53	57	49
54	58	47
55	58	46
56	59	44
57	59	43
58	60	42
59	61	40
60	61	39
61	62	38
62	63	37
63	63	35
64	64	34
65	65	33
66	65	32
67	66	31
68	66	30
69	67	28
70	68	27
71	69	26
72	69	25
73	70	24
74	71	23
75	72	22
76	72	21
77	73	20
78	74	19
79	75	18
80	75	17
81	76	16
82	77	15
83	78	14
84	78	13
85	79	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	83	7
92	84	6
93	85	5
94	86	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
